Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
FYCO1,FYCO1,unreviewed,Homo sapiens (Human),H7BZ74
AP2B1,AP2B1,unreviewed,Homo sapiens (Human),K7EN71
Col6a5,Col6a5,unreviewed,Rattus norvegicus (Rat),F1LZF4
TPR,TPR,reviewed,Homo sapiens (Human),P12270
PFKP;PFKF,PFKP,reviewed,Homo sapiens (Human),Q01813
ISLR;UNQ189/PRO215,ISLR,reviewed,Homo sapiens (Human),O14498
HLCS,HLCS,reviewed,Homo sapiens (Human),P50747
Ap1m1,Ap1m1,reviewed,Rattus norvegicus (Rat),Q32Q06
TSPO,TSPO,unreviewed,Homo sapiens (Human),B1AH87
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A1B0GWF2
Kdm1a,Kdm1a,unreviewed,Rattus norvegicus (Rat),A0A0G2K736
NT5C3A,NT5C3A,unreviewed,Homo sapiens (Human),X6RM59
DDX3Y,DDX3Y,unreviewed,Homo sapiens (Human),C9J081
ZC3HAV1,ZC3HAV1,unreviewed,Homo sapiens (Human),C9J6P4
CWF19L1,CWF19L1,unreviewed,Homo sapiens (Human),A0A0S2Z5Q6
OCIAD1,OCIAD1,unreviewed,Homo sapiens (Human),D6R9T5
PGM3,PGM3,unreviewed,Homo sapiens (Human),A0A494C0G1
UBA3,UBA3,unreviewed,Homo sapiens (Human),F8W8D4
IGFBP6,IGFBP6,unreviewed,Homo sapiens (Human),F8VYK9
CLDND1,CLDND1,unreviewed,Homo sapiens (Human),D6RCR8
Slc6a8,Slc6a8,reviewed,Rattus norvegicus (Rat),P28570
TAF1C,TAF1C,unreviewed,Homo sapiens (Human),H3BR91
PPP3CA,PPP3CA,unreviewed,Homo sapiens (Human),E9PPC8
ITGB1BP1;ICAP1,ITGB1BP1,reviewed,Homo sapiens (Human),O14713
COL8A1;C3orf7,COL8A1,reviewed,Homo sapiens (Human),P27658
NARS1;NARS;NRS,NARS1,reviewed,Homo sapiens (Human),O43776
Lmna,Lmna,unreviewed,Rattus norvegicus (Rat),A0A0G2K3R2
GSTM2,GSTM2,unreviewed,Homo sapiens (Human),E9PGV1
TMED5,TMED5,unreviewed,Homo sapiens (Human),B1AKT3
COPS3,COPS3,unreviewed,Homo sapiens (Human),H7C3P9
MOB4,MOB4,unreviewed,Homo sapiens (Human),F8WAQ8
HEXIM1;CLP1;EDG1;HIS1;MAQ1,HEXIM1,reviewed,Homo sapiens (Human),O94992
ALB,ALB,unreviewed,Homo sapiens (Human),A0A0C4DGB6
Trim29,Trim29,unreviewed,Rattus norvegicus (Rat),D4ABW9
ITGAV,ITGAV,unreviewed,Homo sapiens (Human),H7BZG1
MTRES1;C6orf203;HSPC230,MTRES1,reviewed,Homo sapiens (Human),Q9P0P8
RBM34,RBM34,unreviewed,Homo sapiens (Human),H7C5M1
Gc;rCG_60501,Gc,unreviewed,Rattus norvegicus (Rat),Q68FY4
PCSK6,PCSK6,unreviewed,Homo sapiens (Human),H0Y3Q0
FADS1,FADS1,unreviewed,Homo sapiens (Human),F5H3U5
RCCD1,RCCD1,reviewed,Homo sapiens (Human),A6NED2
Col1a2,Col1a2,reviewed,Rattus norvegicus (Rat),P02466
HMBS,HMBS,unreviewed,Homo sapiens (Human),F5H0P4
Tubb6;rCG_46689,Tubb6,unreviewed,Rattus norvegicus (Rat),Q4QQV0
ITIH5;hCG_25113,ITIH5,unreviewed,Homo sapiens (Human),G5E9D8
SNX1,SNX1,reviewed,Homo sapiens (Human),Q13596
GAMT,GAMT,unreviewed,Homo sapiens (Human),A0A1W2PR36
Dctn6;Dctn6_predicted;rCG_43274,Dctn6,unreviewed,Rattus norvegicus (Rat),D4ADD8
GNAI1,GNAI1,unreviewed,Homo sapiens (Human),A0A3B3ITM0
NEK6,NEK6,unreviewed,Homo sapiens (Human),Q5TBH2
Anxa7;rCG_41894,Anxa7,unreviewed,Rattus norvegicus (Rat),Q6IRJ7
F11,F11,unreviewed,Homo sapiens (Human),D6RB32
Ppp6c;Ppv,Ppp6c,reviewed,Rattus norvegicus (Rat),Q64620
ZNF7,ZNF7,unreviewed,Homo sapiens (Human),E9PM16
MRPL23,MRPL23,unreviewed,Homo sapiens (Human),A8MVT4
SRGAP2C;SRGAP2P1,SRGAP2C,reviewed,Homo sapiens (Human),P0DJJ0
Khdrbs3;Slm2,Khdrbs3,reviewed,Rattus norvegicus (Rat),Q9JLP1
Serpina3n;Spin2c,Serpina3n,reviewed,Rattus norvegicus (Rat),P09006
Rps20,Rps20,reviewed,Rattus norvegicus (Rat),P60868
ECI1;DCI,ECI1,reviewed,Homo sapiens (Human),P42126
GON7;C14orf142,GON7,reviewed,Homo sapiens (Human),Q9BXV9
WNT5A,WNT5A,reviewed,Homo sapiens (Human),P41221
RELN,RELN,reviewed,Homo sapiens (Human),P78509
ITGB6,ITGB6,unreviewed,Homo sapiens (Human),E9PEE8
Anxa4;rCG_56369,Anxa4,unreviewed,Rattus norvegicus (Rat),Q5U362
HACD4;PTPLAD2,HACD4,reviewed,Homo sapiens (Human),Q5VWC8
HPS3;hCG_1787015,HPS3,unreviewed,Homo sapiens (Human),G5E9V4
SMS,SMS,unreviewed,Homo sapiens (Human),H7C2R7
NDUFA10,NDUFA10,unreviewed,Homo sapiens (Human),A0A087WXC5
Cnot6,Cnot6,unreviewed,Rattus norvegicus (Rat),A0A0G2K816
TOMM5;C9orf105;TOM5,TOMM5,reviewed,Homo sapiens (Human),Q8N4H5
CD274;B7H1;PDCD1L1;PDCD1LG1;PDL1,CD274,reviewed,Homo sapiens (Human),Q9NZQ7
UBE2L6,UBE2L6,unreviewed,Homo sapiens (Human),E9PKW8
SLIRP,SLIRP,unreviewed,Homo sapiens (Human),G3V2S9
Gpd2,Gpd2,unreviewed,Rattus norvegicus (Rat),A0A0G2K1F9
Cox5b,Cox5b,reviewed,Rattus norvegicus (Rat),P12075
SRSF5;HRS;SFRS5;SRP40,SRSF5,reviewed,Homo sapiens (Human),Q13243
CRLF3,CRLF3,unreviewed,Homo sapiens (Human),J3KST8
HGF,HGF,unreviewed,Homo sapiens (Human),C9JDP4
RIPOR1,RIPOR1,unreviewed,Homo sapiens (Human),H3BSX9
GPX3,GPX3,unreviewed,Homo sapiens (Human),E5RG32
GNB2,GNB2,unreviewed,Homo sapiens (Human),C9JIS1
CRYL1,CRYL1,unreviewed,Homo sapiens (Human),A0A2R8YCZ4
RAP1B,RAP1B,unreviewed,Homo sapiens (Human),F5H6R7
ENDOD1;KIAA0830,ENDOD1,reviewed,Homo sapiens (Human),O94919
WDR59;KIAA1923;FP977,WDR59,reviewed,Homo sapiens (Human),Q6PJI9
KLKB1,KLKB1,unreviewed,Homo sapiens (Human),H0YAC1
RCOR3,RCOR3,unreviewed,Homo sapiens (Human),E9PQE5
COL12A1;COL12A1L,COL12A1,reviewed,Homo sapiens (Human),Q99715
TNMD;CHM1L;UNQ771/PRO1565,TNMD,reviewed,Homo sapiens (Human),Q9H2S6
TRAPPC2;SEDL,TRAPPC2,reviewed,Homo sapiens (Human),P0DI81
NUP35,NUP35,unreviewed,Homo sapiens (Human),C9JWU7
SAR1A,SAR1A,unreviewed,Homo sapiens (Human),Q5SQT8
MACF1,MACF1,unreviewed,Homo sapiens (Human),A0A0A6YYJ5
Mapk14;Csbp1;Csbp2,Mapk14,reviewed,Rattus norvegicus (Rat),P70618
MIF4GD,MIF4GD,unreviewed,Homo sapiens (Human),J3QRZ6
BTN3A2,BTN3A2,unreviewed,Homo sapiens (Human),E9PRR1
ARHGDIA,ARHGDIA,unreviewed,Homo sapiens (Human),J3KRE2
RDX,RDX,unreviewed,Homo sapiens (Human),E9PQ82
Zfp326,Zfp326,unreviewed,Rattus norvegicus (Rat),A0A096MKE5
BCS1L,BCS1L,unreviewed,Homo sapiens (Human),C9J4Q9
LCMT1,LCMT1,unreviewed,Homo sapiens (Human),I3L2Q8
NBEA,NBEA,unreviewed,Homo sapiens (Human),A0A0D9SF28
RGD1307603,RGD1307603,unreviewed,Rattus norvegicus (Rat),A0A0G2K4Q5
ALDH1L1,ALDH1L1,unreviewed,Homo sapiens (Human),C9JYZ6
MOB3C;MOBKL2C,MOB3C,reviewed,Homo sapiens (Human),Q70IA8
CTNNA1,CTNNA1,unreviewed,Homo sapiens (Human),E5RJ41
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHL5
NDRG1,NDRG1,unreviewed,Homo sapiens (Human),E5RGM5
Slk;rCG_57812,Slk,unreviewed,Rattus norvegicus (Rat),G3V7I8
Gulp1,Gulp1,unreviewed,Rattus norvegicus (Rat),A0A0G2K2Q5
Ppdpf;Exdpf,Ppdpf,reviewed,Rattus norvegicus (Rat),Q5PR01
MINDY2;FAM63B;hCG_40045,MINDY2,unreviewed,Homo sapiens (Human),H0YM15
ATP7A;MC1;MNK,ATP7A,reviewed,Homo sapiens (Human),Q04656
NEO1;IGDCC2;NGN,NEO1,reviewed,Homo sapiens (Human),Q92859
IDH1,IDH1,unreviewed,Homo sapiens (Human),C9JLU6
TRANK1,TRANK1,unreviewed,Homo sapiens (Human),A0A2R8Y890
UBE2C,UBE2C,unreviewed,Homo sapiens (Human),A0A0A0MSE8
Plcl1,Plcl1,reviewed,Rattus norvegicus (Rat),Q62688
AKAP8L,AKAP8L,unreviewed,Homo sapiens (Human),M0R010
CLUH,CLUH,unreviewed,Homo sapiens (Human),I3L3A3
TUBA8,TUBA8,unreviewed,Homo sapiens (Human),V9GZ17
NDUFC2,NDUFC2,unreviewed,Homo sapiens (Human),E9PM14
TRNT1,TRNT1,unreviewed,Homo sapiens (Human),A0A494C0Y2
SNAP23,SNAP23,unreviewed,Homo sapiens (Human),H3BP15
SLC35A2,SLC35A2,unreviewed,Homo sapiens (Human),B4DE15
TMEM9B;C11orf15;UNQ712/PRO1375,TMEM9B,reviewed,Homo sapiens (Human),Q9NQ34
YLPM1,YLPM1,unreviewed,Homo sapiens (Human),H0YIQ2
DDX5,DDX5,unreviewed,Homo sapiens (Human),J3QS79
ZNF324B,ZNF324B,unreviewed,Homo sapiens (Human),M0R3B5
PSMA6,PSMA6,unreviewed,Homo sapiens (Human),H0YJC4
CANX,CANX,reviewed,Homo sapiens (Human),P27824
Zmym4,Zmym4,unreviewed,Rattus norvegicus (Rat),D4A069
EFR3A,EFR3A,unreviewed,Homo sapiens (Human),A0A1B0GUZ7
MSH5-SAPCD1,MSH5-SAPCD1,unreviewed,Homo sapiens (Human),H0YF11
RPS16,RPS16,unreviewed,Homo sapiens (Human),Q6IPX4
DDB2,DDB2,unreviewed,Homo sapiens (Human),A0A087WTQ7
VWF;F8VWF,VWF,reviewed,Homo sapiens (Human),P04275
Mapre1,Mapre1,reviewed,Rattus norvegicus (Rat),Q66HR2
Frs2;Frs2_predicted;rCG_48891,Frs2,unreviewed,Rattus norvegicus (Rat),D4A244
S1PR2;EDG5,S1PR2,reviewed,Homo sapiens (Human),O95136
CFAP410;C21orf2;LRRC76,CFAP410,reviewed,Homo sapiens (Human),O43822
VPS45;VPS45A;VPS45B,VPS45,reviewed,Homo sapiens (Human),Q9NRW7
MEPCE;BCDIN3,MEPCE,reviewed,Homo sapiens (Human),Q7L2J0
PDHB;PHE1B,PDHB,reviewed,Homo sapiens (Human),P11177
CTNNBL1,CTNNBL1,unreviewed,Homo sapiens (Human),A2A2P1
TK1,TK1,reviewed,Homo sapiens (Human),P04183
BAG3,BAG3,unreviewed,Homo sapiens (Human),C9JFK9
Nsmce4a;RGD1309025_predicted;rCG_39521,Nsmce4a,unreviewed,Rattus norvegicus (Rat),D3Z9K8
SGCE,SGCE,unreviewed,Homo sapiens (Human),A0A2R8Y504
RNF40,RNF40,unreviewed,Homo sapiens (Human),H3BQ99
WDR48,WDR48,unreviewed,Homo sapiens (Human),F8W9K4
MACROH2A1;H2AFY,MACROH2A1,reviewed,Homo sapiens (Human),O75367
SEC62;TLOC1,SEC62,reviewed,Homo sapiens (Human),Q99442
BRD2;KIAA9001;RING3,BRD2,reviewed,Homo sapiens (Human),P25440
AKAP10,AKAP10,reviewed,Homo sapiens (Human),O43572
EEF1A2,EEF1A2,unreviewed,Homo sapiens (Human),A0A2R8YDN5
Eif4h;Wbscr1,Eif4h,reviewed,Rattus norvegicus (Rat),Q5XI72
OAS2,OAS2,reviewed,Homo sapiens (Human),P29728
SDR39U1,SDR39U1,unreviewed,Homo sapiens (Human),G3V4N6
LPIN1,LPIN1,unreviewed,Homo sapiens (Human),A0A0A0MS66
CALCOCO2,CALCOCO2,unreviewed,Homo sapiens (Human),D6RJE7
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A096LPA2
Rps27a-ps28;Ubbp4,Rps27a-ps28,unreviewed,Rattus norvegicus (Rat),F1LU69
NOTCH2,NOTCH2,unreviewed,Homo sapiens (Human),D2WEZ3
CNTNAP1,CNTNAP1,unreviewed,Homo sapiens (Human),K7EMM9
TRAF3;CAP-1;CRAF1;TRAFAMN,TRAF3,reviewed,Homo sapiens (Human),Q13114
TNFAIP2,TNFAIP2,unreviewed,Homo sapiens (Human),H0YKR7
EIF3K;EIF3S12;ARG134;HSPC029;MSTP001;PTD001,EIF3K,reviewed,Homo sapiens (Human),Q9UBQ5
TNIK;KIAA0551,TNIK,reviewed,Homo sapiens (Human),Q9UKE5
RPL13AP3,RPL13AP3,reviewed,Homo sapiens (Human),Q6NVV1
Bpgm,Bpgm,unreviewed,Rattus norvegicus (Rat),Q7TP58
NCK1,NCK1,unreviewed,Homo sapiens (Human),C9JAB9
MAEA,MAEA,unreviewed,Homo sapiens (Human),D6RE80
Katna1;KATNA1;rCG_57355,Katna1,unreviewed,Rattus norvegicus (Rat),Z4YNM2
MRC2,MRC2,unreviewed,Homo sapiens (Human),J3KRF1
SAR1B,SAR1B,unreviewed,Homo sapiens (Human),D6R9R5
DENND3;KIAA0870,DENND3,reviewed,Homo sapiens (Human),A2RUS2
ITGB1,ITGB1,unreviewed,Homo sapiens (Human),E7EQW5
CLUAP1,CLUAP1,unreviewed,Homo sapiens (Human),I3L121
Smarca2,Smarca2,unreviewed,Rattus norvegicus (Rat),E9PTG1
NDRG1,NDRG1,unreviewed,Homo sapiens (Human),E5RIR1
DOCK2,DOCK2,unreviewed,Homo sapiens (Human),H0YB76
RAB1B,RAB1B,reviewed,Homo sapiens (Human),Q9H0U4
Ep300,Ep300,unreviewed,Rattus norvegicus (Rat),A0A0G2QC09
FSCN1;FAN1;HSN;SNL,FSCN1,reviewed,Homo sapiens (Human),Q16658
LOC103692829;rCG_63708,LOC103692829,unreviewed,Rattus norvegicus (Rat),A0A0G2JXD0
Prpf38a,Prpf38a,unreviewed,Rattus norvegicus (Rat),D3ZGL5
SAR1B,SAR1B,unreviewed,Homo sapiens (Human),D6RDB2
KIF3A,KIF3A,unreviewed,Homo sapiens (Human),A0A087X011
Vps36;Eap45,Vps36,reviewed,Rattus norvegicus (Rat),P0C0A2
DMD,DMD,unreviewed,Homo sapiens (Human),Q4G0X0
MPC2,MPC2,unreviewed,Homo sapiens (Human),Q5R3B4
Hnrnpa1;Hnrpa1;rCG_50547,Hnrnpa1,unreviewed,Rattus norvegicus (Rat),Q5I0M7
GTF3C5,GTF3C5,unreviewed,Homo sapiens (Human),Q5T7U4
ELAPOR1;EIG121;KIAA1324;UNQ2426/PRO4985,ELAPOR1,reviewed,Homo sapiens (Human),Q6UXG2
LPIN1,LPIN1,unreviewed,Homo sapiens (Human),H7C3T1
MRPL17;LIP2,MRPL17,reviewed,Homo sapiens (Human),Q9NRX2
ACTR2,ACTR2,unreviewed,Homo sapiens (Human),A0A1B0GWD0
CYSTM1;C5orf32;ORF1-FL49,CYSTM1,reviewed,Homo sapiens (Human),Q9H1C7
SMARCD2,SMARCD2,unreviewed,Homo sapiens (Human),B9EGA3
STAT6,STAT6,unreviewed,Homo sapiens (Human),G3V568
ELAC2,ELAC2,unreviewed,Homo sapiens (Human),E7ES68
PAICS;ADE2;AIRC;PAIS,PAICS,reviewed,Homo sapiens (Human),P22234
DLG1,DLG1,unreviewed,Homo sapiens (Human),A0A590UJ64
WDFY3,WDFY3,unreviewed,Homo sapiens (Human),H0Y9T6
UNC45A;SMAP1,UNC45A,reviewed,Homo sapiens (Human),Q9H3U1
Mmp16;rCG_55100,Mmp16,unreviewed,Rattus norvegicus (Rat),F1M7F5
Rnf123,Rnf123,unreviewed,Rattus norvegicus (Rat),F1LMI7
RGD1309104;RGD1309104_predicted;rCG_46265,RGD1309104,unreviewed,Rattus norvegicus (Rat),D3ZU88
ZNF687;KIAA1441,ZNF687,reviewed,Homo sapiens (Human),Q8N1G0
Cdk12,Cdk12,unreviewed,Rattus norvegicus (Rat),A0A0G2K5U7
RPP30,RPP30,unreviewed,Homo sapiens (Human),Q5VU11
DHX38,DHX38,unreviewed,Homo sapiens (Human),J3KRT1
ARMC6,ARMC6,unreviewed,Homo sapiens (Human),H0YH65
CAMK2G;hCG_20541,CAMK2G,unreviewed,Homo sapiens (Human),Q5SWX3
DOHH,DOHH,unreviewed,Homo sapiens (Human),A0A5F9ZGM7
POFUT1;FUT12;KIAA0180,POFUT1,reviewed,Homo sapiens (Human),Q9H488
SLC2A6,SLC2A6,unreviewed,Homo sapiens (Human),F2Z2F6
SLC47A1,SLC47A1,unreviewed,Homo sapiens (Human),I3L345
ETFA,ETFA,unreviewed,Homo sapiens (Human),H0YK49
CYB5R1;NQO3A2;UNQ3049/PRO9865,CYB5R1,reviewed,Homo sapiens (Human),Q9UHQ9
Serpina6;Cbg,Serpina6,reviewed,Rattus norvegicus (Rat),P31211
CLN6,CLN6,unreviewed,Homo sapiens (Human),A0A1B0GUD2
ADD2,ADD2,unreviewed,Homo sapiens (Human),C9J080
ORMDL3,ORMDL3,reviewed,Homo sapiens (Human),Q8N138
ANG;RNASE5,ANG,reviewed,Homo sapiens (Human),P03950
NTF4;NTF5,NTF4,reviewed,Homo sapiens (Human),P34130
RMDN2,RMDN2,unreviewed,Homo sapiens (Human),H7C2J3
MBD3,MBD3,unreviewed,Homo sapiens (Human),A0A087WT34
DNASE1L1,DNASE1L1,unreviewed,Homo sapiens (Human),A6QRJ0
ROCK2;KIAA0619,ROCK2,reviewed,Homo sapiens (Human),O75116
Tax1bp3,Tax1bp3,unreviewed,Rattus norvegicus (Rat),A0A1W2Q5Z6
PHGDH,PHGDH,unreviewed,Homo sapiens (Human),A0A286YFM8
EFEMP1,EFEMP1,unreviewed,Homo sapiens (Human),A0A0U1RQV3
ABCD3;PMP70;PXMP1,ABCD3,reviewed,Homo sapiens (Human),P28288
FKBP11,FKBP11,unreviewed,Homo sapiens (Human),H0YHM7
EIF5A2,EIF5A2,unreviewed,Homo sapiens (Human),F8WCJ1
PSMD10,PSMD10,unreviewed,Homo sapiens (Human),B1AJY7
SLC7A6,SLC7A6,unreviewed,Homo sapiens (Human),H3BSB6
CLNS1A,CLNS1A,unreviewed,Homo sapiens (Human),E9PMI6
QRICH1,QRICH1,reviewed,Homo sapiens (Human),Q2TAL8
ABR,ABR,unreviewed,Homo sapiens (Human),A0A1C7CYZ0
Exoc4,Exoc4,unreviewed,Rattus norvegicus (Rat),M0R649
Pik3cb;rCG_25555,Pik3cb,unreviewed,Rattus norvegicus (Rat),G3V839
Wdr91,Wdr91,reviewed,Rattus norvegicus (Rat),B2RYI0
FCGR2A,FCGR2A,unreviewed,Homo sapiens (Human),V9GY83
GNB1,GNB1,unreviewed,Homo sapiens (Human),F6X3N5
GPR108,GPR108,unreviewed,Homo sapiens (Human),M0QZW9
Ift46,Ift46,reviewed,Rattus norvegicus (Rat),Q6AXQ9
RPS2,RPS2,unreviewed,Homo sapiens (Human),E9PQD7
Dlst,Dlst,reviewed,Rattus norvegicus (Rat),Q01205
Pdxk;rCG_61105,Pdxk,unreviewed,Rattus norvegicus (Rat),G3V647
MAP4,MAP4,unreviewed,Homo sapiens (Human),F8W9U4
LOC102548369,LOC102548369,unreviewed,Rattus norvegicus (Rat),M0R8S7
RGS3,RGS3,reviewed,Homo sapiens (Human),P49796
EXTL3;EXTL1L;EXTR1;KIAA0519,EXTL3,reviewed,Homo sapiens (Human),O43909
LRBA,LRBA,unreviewed,Homo sapiens (Human),H0YAC6
GMFG,GMFG,unreviewed,Homo sapiens (Human),M0R2P2
PPIL4,PPIL4,reviewed,Homo sapiens (Human),Q8WUA2
Cul2;Cul2_predicted;rCG_45320,Cul2,unreviewed,Rattus norvegicus (Rat),D4A0H4
MADD,MADD,unreviewed,Homo sapiens (Human),F8W8U2
TBCB;CG22;CKAP1,TBCB,reviewed,Homo sapiens (Human),Q99426
SH3BP1,SH3BP1,reviewed,Homo sapiens (Human),Q9Y3L3
NDFIP2,NDFIP2,unreviewed,Homo sapiens (Human),H7C5F7
ASB1;KIAA1146,ASB1,reviewed,Homo sapiens (Human),Q9Y576
CNN2,CNN2,unreviewed,Homo sapiens (Human),H3BQH0
Aldh1b1;Aldhx,Aldh1b1,reviewed,Rattus norvegicus (Rat),Q66HF8
Fap,Fap,unreviewed,Rattus norvegicus (Rat),A0A0G2JY72
VPS26A,VPS26A,unreviewed,Homo sapiens (Human),S4R2Y3
GNAO1,GNAO1,unreviewed,Homo sapiens (Human),A0A087WTB6
Hagh;Rsp29,Hagh,reviewed,Rattus norvegicus (Rat),O35952
EIF6;EIF3A;ITGB4BP;OK/SW-cl.27,EIF6,reviewed,Homo sapiens (Human),P56537
PFAS,PFAS,unreviewed,Homo sapiens (Human),J3KTQ5
TOM1L2,TOM1L2,reviewed,Homo sapiens (Human),Q6ZVM7
C4B,C4B,unreviewed,Homo sapiens (Human),F5GXS0
Ap1b1;rCG_35796,Ap1b1,unreviewed,Rattus norvegicus (Rat),G3V9N8
Ciao1;Wdr39,Ciao1,reviewed,Rattus norvegicus (Rat),Q5M7T1
Pdxp;Cin;Plp;Plpp;Rbp1,Pdxp,reviewed,Rattus norvegicus (Rat),Q8VD52
KRT19,KRT19,unreviewed,Homo sapiens (Human),K7EMS3
Nudt4;Dipp2,Nudt4,reviewed,Rattus norvegicus (Rat),Q99MY2
PPP3CC,PPP3CC,unreviewed,Homo sapiens (Human),H0YC26
FAM25G,FAM25G,reviewed,Homo sapiens (Human),B3EWG6
ARPIN-AP3S2,ARPIN-AP3S2,unreviewed,Homo sapiens (Human),H0YMK0
KDM1B,KDM1B,unreviewed,Homo sapiens (Human),H0Y6H0
ECHDC1,ECHDC1,unreviewed,Homo sapiens (Human),H0Y525
FAM114A2,FAM114A2,unreviewed,Homo sapiens (Human),E5RHP2
C2;Apom;Bat4;C4a;Cfb;Csnk2b;G7e;Hspa1a;Hspa1b;Hspa1l;Ly6g5c;Ly6g6c;Neu1;Ng35;Rps25-ps2;Stk19,C2,unreviewed,Rattus norvegicus (Rat),Q6MG73
TRAM1;hCG_18447,TRAM1,unreviewed,Homo sapiens (Human),G3XAN4
Kif1b;Pgd,Kif1b,unreviewed,Rattus norvegicus (Rat),A0A0G2K7Q8
SLMAP,SLMAP,unreviewed,Homo sapiens (Human),A0A590UJS6
YME1L1,YME1L1,unreviewed,Homo sapiens (Human),Q5T8D1
ITM2C,ITM2C,unreviewed,Homo sapiens (Human),E7EUS6
SETD7,SETD7,unreviewed,Homo sapiens (Human),B5MCZ8
RAB6B,RAB6B,unreviewed,Homo sapiens (Human),C9JB90
MTA3,MTA3,unreviewed,Homo sapiens (Human),E9PCS8
SAP18,SAP18,unreviewed,Homo sapiens (Human),U3KPY7
Terf1;rCG_30535,Terf1,unreviewed,Rattus norvegicus (Rat),Q5EB98
NCKAP1;HEM2;KIAA0587;NAP1,NCKAP1,reviewed,Homo sapiens (Human),Q9Y2A7
Gnl2,Gnl2,unreviewed,Rattus norvegicus (Rat),Q4KLJ3
CUL1,CUL1,unreviewed,Homo sapiens (Human),A0A590UJM8
ATP5F1A,ATP5F1A,unreviewed,Homo sapiens (Human),K7ENJ4
PPP3CC,PPP3CC,unreviewed,Homo sapiens (Human),E5RJH4
CDK12,CDK12,unreviewed,Homo sapiens (Human),J3QSD7
AMPD2,AMPD2,unreviewed,Homo sapiens (Human),H0YE32
ALDH16A1,ALDH16A1,reviewed,Homo sapiens (Human),Q8IZ83
SYNPO;KIAA1029,SYNPO,reviewed,Homo sapiens (Human),Q8N3V7
AURKA,AURKA,unreviewed,Homo sapiens (Human),Q5QPD4
C1R,C1R,unreviewed,Homo sapiens (Human),A0A3B3ISR2
TUBA3E,TUBA3E,reviewed,Homo sapiens (Human),Q6PEY2
UBAP2L,UBAP2L,unreviewed,Homo sapiens (Human),Q5VU81
TBL1XR1,TBL1XR1,unreviewed,Homo sapiens (Human),A0A0D9SF63
SNRPGP15,SNRPGP15,reviewed,Homo sapiens (Human),A8MWD9
RAB10,RAB10,reviewed,Homo sapiens (Human),P61026
SLU7,SLU7,unreviewed,Homo sapiens (Human),E5RGM7
TCP1,TCP1,unreviewed,Homo sapiens (Human),F5H282
COX4I1;COX4,COX4I1,reviewed,Homo sapiens (Human),P13073
MSANTD2,MSANTD2,unreviewed,Homo sapiens (Human),E9PPE2
PPM1G;PPM1C,PPM1G,reviewed,Homo sapiens (Human),O15355
HDLBP,HDLBP,unreviewed,Homo sapiens (Human),C9JZI8
DAP3;MRPS29,DAP3,reviewed,Homo sapiens (Human),P51398
Nup155,Nup155,reviewed,Rattus norvegicus (Rat),P37199
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8W118
PMPCB;MPPB,PMPCB,reviewed,Homo sapiens (Human),O75439
Atp5f1d;Atp5d,Atp5f1d,unreviewed,Rattus norvegicus (Rat),G3V7Y3
TMEM14C;C6orf53;HSPC194,TMEM14C,reviewed,Homo sapiens (Human),Q9P0S9
Palld;AABR07025295.1;Palldl1,Palld,unreviewed,Rattus norvegicus (Rat),F1M265
RPP38,RPP38,unreviewed,Homo sapiens (Human),Q5VUC3
CPNE3,CPNE3,unreviewed,Homo sapiens (Human),A0A087WUS8
ATP6V0A1,ATP6V0A1,unreviewed,Homo sapiens (Human),B7Z641
DNM1L,DNM1L,unreviewed,Homo sapiens (Human),F8VUJ9
RNASEH2B,RNASEH2B,unreviewed,Homo sapiens (Human),A0A2R8Y7A3
Wars1;Wars,Wars1,unreviewed,Rattus norvegicus (Rat),F8WFH8
CEACAM1,CEACAM1,unreviewed,Homo sapiens (Human),M0R2K4
GTF3C4,GTF3C4,reviewed,Homo sapiens (Human),Q9UKN8
TRAP1,TRAP1,unreviewed,Homo sapiens (Human),I3L2D5
APBB2,APBB2,unreviewed,Homo sapiens (Human),D6RB55
NKTR,NKTR,unreviewed,Homo sapiens (Human),C9JMM5
LOC100359616;Rpl36,LOC100359616,unreviewed,Rattus norvegicus (Rat),D3ZJJ6
MSL1;MSL1L1,MSL1,reviewed,Homo sapiens (Human),Q68DK7
EGF,EGF,unreviewed,Homo sapiens (Human),A0A494C018
FMO3,FMO3,unreviewed,Homo sapiens (Human),V9GZ60
Vwa1,Vwa1,reviewed,Rattus norvegicus (Rat),Q642A6
EIF3K,EIF3K,unreviewed,Homo sapiens (Human),K7ES31
Slc35a2;rCG_22880,Slc35a2,unreviewed,Rattus norvegicus (Rat),B2RYK5
PPP1R13L,PPP1R13L,unreviewed,Homo sapiens (Human),K7EPP1
DPP3,DPP3,unreviewed,Homo sapiens (Human),E9PNX5
Pik3cg,Pik3cg,unreviewed,Rattus norvegicus (Rat),D3ZFJ0
SLTM,SLTM,unreviewed,Homo sapiens (Human),H0YMM0
CFH,CFH,unreviewed,Homo sapiens (Human),A0A0D9SG88
TBC1D20;C20orf140,TBC1D20,reviewed,Homo sapiens (Human),Q96BZ9
SAAL1,SAAL1,unreviewed,Homo sapiens (Human),E9PMD2
SNRPB,SNRPB,unreviewed,Homo sapiens (Human),S4R3P3
