Gene Name,Reduced Gene Name,Organism,Mode
ATP6V1D,ATP6V1D,human,ensembl
COL5A3,COL5A3,human,ensembl
PHYHD1,PHYHD1,human,ensembl
GEMIN6,GEMIN6,human,ensembl
SUPV3L1,SUPV3L1,human,ensembl
COX19,COX19,human,ensembl
RCC2,RCC2,human,ensembl
XPO5,XPO5,human,ensembl
CLUH,CLUH,human,ensembl
EIPR1,EIPR1,human,ensembl
IRF2BP1,IRF2BP1,human,ensembl
SERPING1,SERPING1,human,ensembl
OCRL,OCRL,human,ensembl
ANAPC1,ANAPC1,human,ensembl
S1PR2,S1PR2,human,ensembl
SRSF3,SRSF3,human,ensembl
ACTB,ACTB,human,ensembl
RBM26,RBM26,human,ensembl
COX6A1,COX6A1,human,ensembl
MYO5A,MYO5A,human,ensembl
NIP7,NIP7,human,ensembl
BLOC1S2,BLOC1S2,human,ensembl
HMGB1,HMGB1,human,ensembl
TRAP1,TRAP1,human,ensembl
AKAP17A,AKAP17A,human,ensembl
SH3BP1,SH3BP1,human,ensembl
NCKIPSD,NCKIPSD,human,ensembl
HACD3,HACD3,human,ensembl
PLCG1,PLCG1,human,ensembl
COA7,COA7,human,ensembl
RTCA,RTCA,human,ensembl
WDR75,WDR75,human,ensembl
RAB32,RAB32,human,ensembl
TBCEL,TBCEL,human,ensembl
PHLPP1,PHLPP1,human,ensembl
UBQLN4,UBQLN4,human,ensembl
VPS45,VPS45,human,ensembl
DCAKD,DCAKD,human,ensembl
RTTN,RTTN,human,ensembl
CHMP2B,CHMP2B,human,ensembl
SAFB,SAFB,human,ensembl
UBXN4,UBXN4,human,ensembl
IFT57,IFT57,human,ensembl
RABL6,RABL6,human,ensembl
RPP25,RPP25,human,ensembl
NFIC,NFIC,human,ensembl
CLPB,CLPB,human,ensembl
BAG1,BAG1,human,ensembl
THUMPD3,THUMPD3,human,ensembl
EXOC2,EXOC2,human,ensembl
RBPJ,RBPJ,human,ensembl
HYPK,HYPK,human,ensembl
LHFPL2,LHFPL2,human,ensembl
NUDT3,NUDT3,human,ensembl
MICOS10,MICOS10,human,ensembl
PUDP,PUDP,human,ensembl
H1-5,H1-5,human,ensembl
RABEP1,RABEP1,human,ensembl
NECAP1,NECAP1,human,ensembl
NCK2,NCK2,human,ensembl
MRM3,MRM3,human,ensembl
RWDD4,RWDD4,human,ensembl
DGKA,DGKA,human,ensembl
GON7,GON7,human,ensembl
CCDC88A,CCDC88A,human,ensembl
RPRD2,RPRD2,human,ensembl
FAM136A,FAM136A,human,ensembl
ARL6IP1,ARL6IP1,human,ensembl
GALK2,GALK2,human,ensembl
TEX264,TEX264,human,ensembl
SLC35B2,SLC35B2,human,ensembl
HSPA14,HSPA14,human,ensembl
CNOT3,CNOT3,human,ensembl
ALDH3A1,ALDH3A1,human,ensembl
ODR4,ODR4,human,ensembl
PPP1R10,PPP1R10,human,ensembl
GSDMD,GSDMD,human,ensembl
MANBA,MANBA,human,ensembl
CLASP2,CLASP2,human,ensembl
TXNIP,TXNIP,human,ensembl
EDC4,EDC4,human,ensembl
JUND,JUND,human,ensembl
GBP2,GBP2,human,ensembl
GSTT2B,GSTT2B,human,ensembl
SCFD2,SCFD2,human,ensembl
CNOT1,CNOT1,human,ensembl
UBE2G2,UBE2G2,human,ensembl
NUB1,NUB1,human,ensembl
PIP5K1A,PIP5K1A,human,ensembl
VPS13D,VPS13D,human,ensembl
WWTR1,WWTR1,human,ensembl
TAGLN3,TAGLN3,human,ensembl
IL18R1,IL18R1,human,ensembl
VTI1B,VTI1B,human,ensembl
SBSN,SBSN,human,ensembl
TTC38,TTC38,human,ensembl
WDR74,WDR74,human,ensembl
RAVER1,RAVER1,human,ensembl
MYH3,MYH3,human,ensembl
MRPS31,MRPS31,human,ensembl
GSPT2,GSPT2,human,ensembl
PLA2G15,PLA2G15,human,ensembl
C3,C3,human,ensembl
RABAC1,RABAC1,human,ensembl
ABRACL,ABRACL,human,ensembl
PTGS1,PTGS1,human,ensembl
HMMR,HMMR,human,ensembl
GTF2H2C,GTF2H2C,human,ensembl
CLIC1,CLIC1,human,ensembl
TUBA1C,TUBA1C,human,ensembl
YWHAZ,YWHAZ,human,ensembl
H2AX,H2AX,human,ensembl
COL14A1,COL14A1,human,ensembl
LDHA,LDHA,human,ensembl
LDHAL6A,LDHAL6A,human,ensembl
LGALS1,LGALS1,human,ensembl
CES1,CES1,human,ensembl
LDHC,LDHC,human,ensembl
DKK3,DKK3,human,ensembl
OLFML3,OLFML3,human,ensembl
CORO1A,CORO1A,human,ensembl
MMP1,MMP1,human,ensembl
BGN,BGN,human,ensembl
CXCL6,CXCL6,human,ensembl
BLVRB,BLVRB,human,ensembl
INHBA,INHBA,human,ensembl
PAPPA,PAPPA,human,ensembl
HOOK3,HOOK3,human,ensembl
EML2,EML2,human,ensembl
CXCL1,CXCL1,human,ensembl
MMP3,MMP3,human,ensembl
XYLT1,XYLT1,human,ensembl
PARVB,PARVB,human,ensembl
IL6,IL6,human,ensembl
DNAI2,DNAI2,human,ensembl
COL7A1,COL7A1,human,ensembl
NOTCH3,NOTCH3,human,ensembl
STC2,STC2,human,ensembl
HABP2,HABP2,human,ensembl
MAPRE2,MAPRE2,human,ensembl
TSPAN14,TSPAN14,human,ensembl
CASK,CASK,human,ensembl
PLAT,PLAT,human,ensembl
NEO1,NEO1,human,ensembl
LOXL1,LOXL1,human,ensembl
LCP1,LCP1,human,ensembl
LAMC2,LAMC2,human,ensembl
CLEC11A,CLEC11A,human,ensembl
IGFBP5,IGFBP5,human,ensembl
S100A10,S100a10,mouse,ensembl
ANXA4,Anxa4,mouse,ensembl
LOXL3,Loxl3,mouse,ensembl
IGF2,Igf2,mouse,ensembl
S100A11,S100a11,mouse,ensembl
COL24A1,Col24a1,mouse,ensembl
DCN,Dcn,mouse,ensembl
SPARC,Sparc,mouse,ensembl
VTN,Vtn,mouse,ensembl
LGALS1,Lgals1,mouse,ensembl
ANXA1,Anxa1,mouse,ensembl
ANGPTL4,Angptl4,mouse,ensembl
SERPINH1,Serpinh1,mouse,ensembl
FBLN2,Fbln2,mouse,ensembl
PLXNB2,Plxnb2,mouse,ensembl
Sfr1,Sfr1,mouse,ensembl
Ctc1,Ctc1,mouse,ensembl
Gusb,Gusb,mouse,ensembl
Mtch2,Mtch2,mouse,ensembl
Pdgfrb,Pdgfrb,mouse,ensembl
Ccl9,Ccl9,mouse,ensembl
Triobp,Triobp,mouse,ensembl
Ifi205a,Ifi205,mouse,ensembl
Ppic,Ppic,mouse,ensembl
Ube2v2,Ube2v2,mouse,ensembl
Afg3l1,Afg3l1,mouse,ensembl
Crkl,Crkl,mouse,ensembl
Caap1,Caap1,mouse,ensembl
Hal,Hal,mouse,ensembl
Mecp2,Mecp2,mouse,ensembl
Lrrc57,Lrrc57,mouse,ensembl
Rtn3,Rtn3,mouse,ensembl
Cstf2t,Cstf2t,mouse,ensembl
Fcgr3,Fcgr3,mouse,ensembl
Ms4a6d,Ms4a6d,mouse,ensembl
Nckap1,Nckap1,mouse,ensembl
Lcmt1,Lcmt1,mouse,ensembl
Stk10,Stk10,mouse,ensembl
Wdfy4,Wdfy4,mouse,ensembl
Anxa2,Anxa2,mouse,ensembl
Rpap3,Rpap3,mouse,ensembl
Dhx58,Dhx58,mouse,ensembl
Ncam1,Ncam1,mouse,ensembl
Oplah,Oplah,mouse,ensembl
Fas,Fas,mouse,ensembl
Idh3b,Idh3b,mouse,ensembl
Nes,Nes,mouse,ensembl
Specc1l,Specc1l,mouse,ensembl
Ppp1r11,Ppp1r11,mouse,ensembl
Pir,Pir,mouse,ensembl
Clec10a,Clec10a,mouse,ensembl
Wasl,Wasl,mouse,ensembl
Txlna,Txlna,mouse,ensembl
Ap2s1,Ap2s1,mouse,ensembl
Gbp9,Gbp9,mouse,ensembl
Grcc10,Grcc10,mouse,ensembl
Col1a1,Col1a1,mouse,ensembl
Gsto1,Gsto1,mouse,ensembl
Cherp,Cherp,mouse,ensembl
Ypel5,Ypel5,mouse,ensembl
Eif2b1,Eif2b1,mouse,ensembl
Fyco1,Fyco1,mouse,ensembl
Gnb1,Gnb1,mouse,ensembl
Hspa14,Hspa14,mouse,ensembl
Cst3,Cst3,mouse,ensembl
Cnot3,Cnot3,mouse,ensembl
C1qbp,C1qbp,mouse,ensembl
Cnn2,Cnn2,mouse,ensembl
Npm3,Npm3,mouse,ensembl
Uqcrh,Uqcrh,mouse,ensembl
Npr3,Npr3,mouse,ensembl
Pbp2,Pbp2,mouse,ensembl
Arf1,Arf1,mouse,ensembl
Akap10,Akap10,mouse,ensembl
Taok3,Taok3,mouse,ensembl
Igf2r,Igf2r,mouse,ensembl
Atp6v1d,Atp6v1d,mouse,ensembl
Sms,Sms,mouse,ensembl
Mrps17,Mrps17,mouse,ensembl
Nudt16,Nudt16,mouse,ensembl
Pdpk1,Pdpk1,mouse,ensembl
Ppp1r14b,Ppp1r14b,mouse,ensembl
Rbbp9,Rbbp9,mouse,ensembl
Fcgrt,Fcgrt,mouse,ensembl
Mtfr1l,Mtfr1l,mouse,ensembl
Uchl3,Uchl3,mouse,ensembl
Npc1,Npc1,mouse,ensembl
G3bp1,G3bp1,mouse,ensembl
Efemp1,Efemp1,mouse,ensembl
Galnt7,Galnt7,mouse,ensembl
Brat1,Brat1,mouse,ensembl
Col1a2,Col1a2,mouse,ensembl
Tmem87a,Tmem87a,mouse,ensembl
Ctns,Ctns,mouse,ensembl
Cdh5,Cdh5,mouse,ensembl
Ptbp1,Ptbp1,mouse,ensembl
Hnrnpk,Hnrnpk,mouse,ensembl
Plin2,Plin2,mouse,ensembl
Ppat,Ppat,mouse,ensembl
Sphk1,Sphk1,mouse,ensembl
Ogfr,Ogfr,mouse,ensembl
Mcm4,Mcm4,mouse,ensembl
Crtap,Crtap,mouse,ensembl
Rabggtb,Rabggtb,mouse,ensembl
Ints4,Ints4,mouse,ensembl
Prkacb,Prkacb,mouse,ensembl
Cd109,Cd109,mouse,ensembl
Irak4,Irak4,mouse,ensembl
Clca3a1,Clca3a1,mouse,ensembl
Nfatc2,Nfatc2,mouse,ensembl
2310011J03Rik,2310011J03Rik,mouse,ensembl
Nup50,Nup50,mouse,ensembl
Usp19,Usp19,mouse,ensembl
Inpp1,Inpp1,mouse,ensembl
Csnk1g1,Csnk1g1,mouse,ensembl
Tmem176b,Tmem176b,mouse,ensembl
Dynll2,Dynll2,mouse,ensembl
S100a6,S100a6,mouse,ensembl
Stard5,Stard5,mouse,ensembl
Pnn,Pnn,mouse,ensembl
Pdcd5,Pdcd5,mouse,ensembl
Prdx3,Prdx3,mouse,ensembl
Ctsc,Ctsc,mouse,ensembl
Scpep1,Scpep1,mouse,ensembl
Znf622,Zfp622,mouse,ensembl
Ints10,Ints10,mouse,ensembl
Hccs,Hccs,mouse,ensembl
Ccdc90b,Ccdc90b,mouse,ensembl
Irf5,Irf5,mouse,ensembl
Nlrx1,Nlrx1,mouse,ensembl
Bloc1s4,Bloc1s4,mouse,ensembl
Prpf4,Prpf4,mouse,ensembl
Wdfy1,Wdfy1,mouse,ensembl
Usp15,Usp15,mouse,ensembl
Oxct1,Oxct1,mouse,ensembl
Suox,Suox,mouse,ensembl
Tamm41,Tamm41,mouse,ensembl
Wbp11,Wbp11,mouse,ensembl
Ddx18,Ddx18,mouse,ensembl
Trp53rka,Trp53rka,mouse,ensembl
Tmem104,Tmem104,mouse,ensembl
Qrich1,Qrich1,mouse,ensembl
Eml4,Eml4,mouse,ensembl
Rpl35a,Rpl35a,mouse,ensembl
Safb,Safb,mouse,ensembl
Gmfb,Gmfb,mouse,ensembl
Glrx,Glrx,mouse,ensembl
Mvd,Mvd,mouse,ensembl
Sepsecs,Sepsecs,mouse,ensembl
Selenbp1,Selenbp1,mouse,ensembl
Isg15,Isg15,mouse,ensembl
Hgd,Hgd,mouse,ensembl
Slc29a3,Slc29a3,mouse,ensembl
Idh1,Idh1,mouse,ensembl
Nhlrc3,Nhlrc3,mouse,ensembl
Snf8,Snf8,mouse,ensembl
Cpsf4,Cpsf4,mouse,ensembl
Snx13,Snx13,mouse,ensembl
Cux1,Cux1,mouse,ensembl
Rab1b,Rab1b,mouse,ensembl
Tbl1x,Tbl1x,mouse,ensembl
Mt1,Mt1,mouse,ensembl
Dysf,Dysf,mouse,ensembl
Yipf5,Yipf5,mouse,ensembl
Impact,Impact,mouse,ensembl
Necap1,Necap1,mouse,ensembl
Prkx,Prkx,mouse,ensembl
Rab4a,Rab4a,mouse,ensembl
Plod3,Plod3,mouse,ensembl
Prepl,Prepl,mouse,ensembl
Pde12,Pde12,mouse,ensembl
Rpl24,Rpl24,mouse,ensembl
Otud6b,Otud6b,mouse,ensembl
Kyat3,Kyat3,mouse,ensembl
Igtp,Igtp,mouse,ensembl
Plin4,Plin4,mouse,ensembl
Dnajc5,Dnajc5,mouse,ensembl
Plbd2,Plbd2,mouse,ensembl
Nfs1,Nfs1,mouse,ensembl
Fmo3,Fmo3,mouse,ensembl
Sgcd,Sgcd,mouse,ensembl
Gnb2,Gnb2,mouse,ensembl
Adprh,Adprh,mouse,ensembl
Hadha,Hadha,mouse,ensembl
Fkbp4,Fkbp4,mouse,ensembl
Vdac2,Vdac2,mouse,ensembl
Rps21,Rps21,mouse,ensembl
Timp3,Timp3,mouse,ensembl
Fnta,Fnta,mouse,ensembl
Akap9,Akap9,mouse,ensembl
Cxcl12,Cxcl12,mouse,ensembl
Gm10320,Gm10320,mouse,ensembl
Sec61b,Sec61b,mouse,ensembl
Hps6,Hps6,mouse,ensembl
Prkar2b,Prkar2b,mouse,ensembl
Wdr45b,Wdr45b,mouse,ensembl
Cntn1,Cntn1,mouse,ensembl
Aagab,Aagab,mouse,ensembl
Anxa1,Anxa1,mouse,ensembl
F9,F9,mouse,ensembl
Gm2a,Gm2a,mouse,ensembl
Naglu,Naglu,mouse,ensembl
Slc4a1ap,Slc4a1ap,mouse,ensembl
Alcam,Alcam,mouse,ensembl
Snrpe,Snrpe,mouse,ensembl
Rab2a,Rab2a,mouse,ensembl
Fcho2,Fcho2,mouse,ensembl
Mcm2,Mcm2,mouse,ensembl
Hmgcs1,Hmgcs1,mouse,ensembl
Dram2,Dram2,mouse,ensembl
Nemp1,Nemp1,mouse,ensembl
Lhpp,Lhpp,mouse,ensembl
Ifi202,Ifi202b,mouse,ensembl
Pbxip1,Pbxip1,mouse,ensembl
Lrch1,Lrch1,mouse,ensembl
Cisd2,Cisd2,mouse,ensembl
Comp,Comp,mouse,ensembl
Plgrkt,Plgrkt,mouse,ensembl
Kras,Kras,mouse,ensembl
Snrpb2,Snrpb2,mouse,ensembl
Itga11,Itga11,mouse,ensembl
Tmem160,Tmem160,mouse,ensembl
Rap2b,Rap2b,mouse,ensembl
Gstm1,Gstm1,mouse,ensembl
Rpa3,Rpa3,mouse,ensembl
Gsdme,Gsdme,mouse,ensembl
Lamb1,Lamb1,mouse,ensembl
Pes1,Pes1,mouse,ensembl
Ythdf2,Ythdf2,mouse,ensembl
Gga2,Gga2,mouse,ensembl
Mapk7,Mapk7,mouse,ensembl
Cnot7,Cnot7,mouse,ensembl
Pklr,Pklr,mouse,ensembl
Wbp2,Wbp2,mouse,ensembl
Ptdss1,Ptdss1,mouse,ensembl
Nid1,Nid1,mouse,ensembl
Spns1,Spns1,mouse,ensembl
Abcd4,Abcd4,mouse,ensembl
Tbl1xr1,Tbl1xr1,mouse,ensembl
Hmgn5,Hmgn5,mouse,ensembl
Mlkl,Mlkl,mouse,ensembl
Prrc2a,Prrc2a,mouse,ensembl
Adgre1,Adgre1,mouse,ensembl
Magt1,Magt1,mouse,ensembl
Polr2b,Polr2b,mouse,ensembl
Mrpl9,Mrpl9,mouse,ensembl
Gde1,Gde1,mouse,ensembl
Pml,Pml,mouse,ensembl
Specc1,Specc1,mouse,ensembl
Sf3b6,Sf3b6,mouse,ensembl
Rgn,Rgn,mouse,ensembl
Guf1,Guf1,mouse,ensembl
Arhgap25,Arhgap25,mouse,ensembl
Epn1,Epn1,mouse,ensembl
Itgb2,Itgb2,mouse,ensembl
Slc31a1,Slc31a1,mouse,ensembl
Smad4,Smad4,mouse,ensembl
Trappc1,Trappc1,mouse,ensembl
Postn,Postn,mouse,ensembl
Phldb2,Phldb2,mouse,ensembl
Qrsl1,Qrsl1,mouse,ensembl
Frmd8,Frmd8,mouse,ensembl
Relch,Relch,mouse,ensembl
Arf3,Arf3,mouse,ensembl
Rfc4,Rfc4,mouse,ensembl
Hscb,Hscb,mouse,ensembl
Ddrgk1,Ddrgk1,mouse,ensembl
Mtatp8,mt-Atp8,mouse,ensembl
Reps2,Reps2,mouse,ensembl
Fhl1,Fhl1,mouse,ensembl
Ccl8,Ccl8,mouse,ensembl
Adss,Adss,mouse,ensembl
Rhog,Rhog,mouse,ensembl
Pgpep1,Pgpep1,mouse,ensembl
Cept1,Cept1,mouse,ensembl
Mcm5,Mcm5,mouse,ensembl
Epg5,Epg5,mouse,ensembl
Nup133,Nup133,mouse,ensembl
Acadsb,Acadsb,mouse,ensembl
Nek9,Nek9,mouse,ensembl
Hsd3b7,Hsd3b7,mouse,ensembl
Wfdc17,Wfdc17,mouse,ensembl
Snrpa1,Snrpa1,mouse,ensembl
Hspb11,Hspb11,mouse,ensembl
Rpa1,Rpa1,mouse,ensembl
Bmp1,Bmp1,mouse,ensembl
Dok2,Dok2,mouse,ensembl
Aspscr1,Aspscr1,mouse,ensembl
Col12a1,Col12a1,mouse,ensembl
Dnajc3,Dnajc3,mouse,ensembl
Grn,Grn,mouse,ensembl
Ufl1,Ufl1,mouse,ensembl
Ate1,Ate1,mouse,ensembl
Gid8,Gid8,mouse,ensembl
Igfbp3,Igfbp3,mouse,ensembl
Engase,Engase,mouse,ensembl
Abracl,Abracl,mouse,ensembl
Mios,Mios,mouse,ensembl
Cops7b,Cops7b,mouse,ensembl
Hnrnpul1,Hnrnpul1,mouse,ensembl
Hbs1l,Hbs1l,mouse,ensembl
Prdx2,Prdx2,mouse,ensembl
Tubgcp3,Tubgcp3,mouse,ensembl
Sf3b2,Sf3b2,mouse,ensembl
Ifi44,Ifi44,mouse,ensembl
Luc7l3,Luc7l3,mouse,ensembl
Gm16286,Naa12,mouse,ensembl
Maoa,Maoa,mouse,ensembl
Txndc5,Txndc5,mouse,ensembl
Gnao1,Gnao1,mouse,ensembl
Osbpl8,Osbpl8,mouse,ensembl
Mgst3,Mgst3,mouse,ensembl
Tmem11,Tmem11,mouse,ensembl
AI837181,AI837181,mouse,ensembl
Ankle2,Ankle2,mouse,ensembl
Coro1c,Coro1c,mouse,ensembl
Cryz,Cryz,mouse,ensembl
Rgs19,Rgs19,mouse,ensembl
Ifit1,Ifit1,mouse,ensembl
Efemp2,Efemp2,mouse,ensembl
Dap,Dap,mouse,ensembl
Tulp3,Tulp3,mouse,ensembl
Psap,Psap,mouse,ensembl
Gtpbp1,Gtpbp1,mouse,ensembl
Xpnpep3,Xpnpep3,mouse,ensembl
Slfn5,Slfn5,mouse,ensembl
Cryzl1,Cryzl1,mouse,ensembl
Sptan1,Sptan1,mouse,ensembl
Rufy3,Rufy3,mouse,ensembl
Smad2,Smad2,mouse,ensembl
Mlec,Mlec,mouse,ensembl
Pdlim1,Pdlim1,mouse,ensembl
Srsf10,Srsf10,mouse,ensembl
Nup88,Nup88,mouse,ensembl
Slc4a2,Slc4a2,mouse,ensembl
Myadm,Myadm,mouse,ensembl
Cd14,Cd14,mouse,ensembl
Mocs3,Mocs3,mouse,ensembl
Plekhm1,Plekhm1,mouse,ensembl
Spag9,Spag9,mouse,ensembl
Trpv2,Trpv2,mouse,ensembl
Snx3,Snx3,mouse,ensembl
Klhl9,Klhl9,mouse,ensembl
Ctbs,Ctbs,mouse,ensembl
Dnaja3,Dnaja3,mouse,ensembl
Rpl14,Rpl14,mouse,ensembl
Fam98a,Fam98a,mouse,ensembl
Lonp1,Lonp1,mouse,ensembl
Kyat1,Kyat1,mouse,ensembl
Ascc2,Ascc2,mouse,ensembl
Angptl3,Angptl3,mouse,ensembl
Mdp1,Mdp1,mouse,ensembl
Mtor,Mtor,mouse,ensembl
Was,Was,mouse,ensembl
S100a11,S100a11,mouse,ensembl
Itm2b,Itm2b,mouse,ensembl
Apob,Apob,mouse,ensembl
Hps3,Hps3,mouse,ensembl
Cav1,Cav1,mouse,ensembl
Snrpd1,Snrpd1,mouse,ensembl
Vnn1,Vnn1,mouse,ensembl
Rap1b,Rap1b,mouse,ensembl
Fbxo4,Fbxo4,mouse,ensembl
Tubb2a,Tubb2a,mouse,ensembl
Dnttip2,Dnttip2,mouse,ensembl
Mturn,Mturn,mouse,ensembl
Tnc,Tnc,mouse,ensembl
Asah1,Asah1,mouse,ensembl
Ctsk,Ctsk,mouse,ensembl
Rbm42,Rbm42,mouse,ensembl
Vamp3,Vamp3,mouse,ensembl
Mrps18b,Mrps18b,mouse,ensembl
Prpf4b,Prpf4b,mouse,ensembl
Rps29,Rps29,mouse,ensembl
Ndufa3,Ndufa3,mouse,ensembl
Wwc2,Wwc2,mouse,ensembl
Psph,Psph,mouse,ensembl
Slc9a9,Slc9a9,mouse,ensembl
Pls3,Pls3,mouse,ensembl
Tap2,Tap2,mouse,ensembl
Fdx1,Fdx1,mouse,ensembl
Atxn2,Atxn2,mouse,ensembl
Ranbp9,Ranbp9,mouse,ensembl
Trmt6,Trmt6,mouse,ensembl
Creg1,Creg1,mouse,ensembl
Galm,Galm,mouse,ensembl
Ctss,Ctss,mouse,ensembl
Eipr1,Eipr1,mouse,ensembl
Uck1,Uck1,mouse,ensembl
Cblb,Cblb,mouse,ensembl
Enpp4,Enpp4,mouse,ensembl
Pdia5,Pdia5,mouse,ensembl
Ca3,Car3,mouse,ensembl
Dhrs11,Dhrs11,mouse,ensembl
Tgfbr3,Tgfbr3,mouse,ensembl
Gxylt1,Gxylt1,mouse,ensembl
Src,Src,mouse,ensembl
Vkorc1,Vkorc1,mouse,ensembl
Wdr26,Wdr26,mouse,ensembl
Casp7,Casp7,mouse,ensembl
Galc,Galc,mouse,ensembl
Arhgap18,Arhgap18,mouse,ensembl
2310022B05Rik,2310022B05Rik,mouse,ensembl
Dpp9,Dpp9,mouse,ensembl
Emc8,Emc8,mouse,ensembl
Clpx,Clpx,mouse,ensembl
Cfap36,Cfap36,mouse,ensembl
Hpse,Hpse,mouse,ensembl
Slc25a22,Slc25a22,mouse,ensembl
Romo1,Romo1,mouse,ensembl
Sympk,Sympk,mouse,ensembl
Aga,Aga,mouse,ensembl
Gm49368,Gm49368,mouse,ensembl
Gdpd1,Gdpd1,mouse,ensembl
Otud7b,Otud7b,mouse,ensembl
Cul4b,Cul4b,mouse,ensembl
Slk,Slk,mouse,ensembl
Apoe,Apoe,mouse,ensembl
Nemf,Nemf,mouse,ensembl
Gamt,Gamt,mouse,ensembl
Rnf213,Rnf213,mouse,ensembl
Cdh11,Cdh11,mouse,ensembl
Oas1g,Oas1g,mouse,ensembl
Gja1,Gja1,mouse,ensembl
Atg4b,Atg4b,mouse,ensembl
Ppt1,Ppt1,mouse,ensembl
Exosc10,Exosc10,mouse,ensembl
Sbf1,Sbf1,mouse,ensembl
Nbdy,Nbdy,mouse,ensembl
Vdac1,Vdac1,mouse,ensembl
Pgam1,Pgam1,mouse,ensembl
Emc2,Emc2,mouse,ensembl
Igfbp4,Igfbp4,mouse,ensembl
Kidins220,Kidins220,mouse,ensembl
Irgq,Irgq,mouse,ensembl
Atp6v0c,Atp6v0c,mouse,ensembl
Oaf,Oaf,mouse,ensembl
Micall2,Micall2,mouse,ensembl
Cbr2,Cbr2,mouse,ensembl
Cd68,Cd68,mouse,ensembl
Tgfb1i1,Tgfb1i1,mouse,ensembl
Gpnmb,Gpnmb,mouse,ensembl
Igfbp7,Igfbp7,mouse,ensembl
Srrm1,Srrm1,mouse,ensembl
Hnmt,Hnmt,mouse,ensembl
Cops8,Cops8,mouse,ensembl
Mettl7a1,Mettl7a1,mouse,ensembl
Ctsh,Ctsh,mouse,ensembl
U2af1,U2af1,mouse,ensembl
Bcas3,Bcas3,mouse,ensembl
Unc93b1,Unc93b1,mouse,ensembl
Mad2l1,Mad2l1,mouse,ensembl
Cox8a,Cox8a,mouse,ensembl
Nit1,Nit1,mouse,ensembl
RTRAF,Rtraf,mouse,ensembl
Stk24,Stk24,mouse,ensembl
Rab4b,Rab4b,mouse,ensembl
Cse1l,Cse1l,mouse,ensembl
Psme1,Psme1,mouse,ensembl
Hexa,Hexa,mouse,ensembl
Trmt1,Trmt1,mouse,ensembl
Grb10,Grb10,mouse,ensembl
Tox4,Tox4,mouse,ensembl
Zfr,Zfr,mouse,ensembl
Psmg3,Psmg3,mouse,ensembl
Nxf1,Nxf1,mouse,ensembl
Trmt112,Trmt112,mouse,ensembl
Dpep1,Dpep1,mouse,ensembl
Scrn1,Scrn1,mouse,ensembl
Tmem120a,Tmem120a,mouse,ensembl
Glul,Glul,mouse,ensembl
Crlf3,Crlf3,mouse,ensembl
Sec16a,Sec16a,mouse,ensembl
Serpinc1,Serpinc1,mouse,ensembl
Chmp7,Chmp7,mouse,ensembl
Thop1,Thop1,mouse,ensembl
Ergic3,Ergic3,mouse,ensembl
Hmgn1,Hmgn1,mouse,ensembl
Dpy30,Dpy30,mouse,ensembl
Ncapd2,Ncapd2,mouse,ensembl
Spp2,Spp2,mouse,ensembl
Iscu,Iscu,mouse,ensembl
Chd5,Chd5,mouse,ensembl
Endod1,Endod1,mouse,ensembl
Gns,Gns,mouse,ensembl
Myo1g,Myo1g,mouse,ensembl
Scg3,Scg3,mouse,ensembl
Aldh2,Aldh2,mouse,ensembl
Cln3,Cln3,mouse,ensembl
Ltbp4,Ltbp4,mouse,ensembl
Mgat2,Mgat2,mouse,ensembl
Arfgef1,Arfgef1,mouse,ensembl
Nsun2,Nsun2,mouse,ensembl
Pfn2,Pfn2,mouse,ensembl
Tor1b,Tor1b,mouse,ensembl
Cab39,Cab39,mouse,ensembl
Ebp,Ebp,mouse,ensembl
Mtx2,Mtx2,mouse,ensembl
Birc6,Birc6,mouse,ensembl
Hk3,Hk3,mouse,ensembl
Lgals1,Lgals1,mouse,ensembl
Evl,Evl,mouse,ensembl
Itgb1,Itgb1,mouse,ensembl
Smcr8,Smcr8,mouse,ensembl
Commd7,Commd7,mouse,ensembl
Pzp,Pzp,mouse,ensembl
Wipi2,Wipi2,mouse,ensembl
Tmtc3,Tmtc3,mouse,ensembl
Eif2d,Eif2d,mouse,ensembl
Dbi,Dbi,mouse,ensembl
Gnaq,Gnaq,mouse,ensembl
Crbn,Crbn,mouse,ensembl
Sf3b5,Sf3b5,mouse,ensembl
Btk,Btk,mouse,ensembl
Serpinb6,Serpinb6a,mouse,ensembl
Hcfc1,Hcfc1,mouse,ensembl
Cd63,Cd63,mouse,ensembl
Igf1,Igf1,mouse,ensembl
Isoc2a,Isoc2a,mouse,ensembl
Trabd,Trabd,mouse,ensembl
Mvk,Mvk,mouse,ensembl
Rdh14,Rdh14,mouse,ensembl
Srd5a3,Srd5a3,mouse,ensembl
Rad23b,Rad23b,mouse,ensembl
Ndrg2,Ndrg2,mouse,ensembl
Klkb1,Klkb1,mouse,ensembl
Pfdn5,Pfdn5,mouse,ensembl
Nxn,Nxn,mouse,ensembl
Gsta4,Gsta4,mouse,ensembl
Hexb,Hexb,mouse,ensembl
Stom,Stom,mouse,ensembl
Gfpt1,Gfpt1,mouse,ensembl
Tjp1,Tjp1,mouse,ensembl
Pef1,Pef1,mouse,ensembl
Mcm6,Mcm6,mouse,ensembl
Icam1,Icam1,mouse,ensembl
Gna11,Gna11,mouse,ensembl
Cttn,Cttn,mouse,ensembl
Hebp1,Hebp1,mouse,ensembl
Tbcd,Tbcd,mouse,ensembl
