Gene names,Gene names  (primary ),Status,Organism,Protein ID,Gene Names,Gene Names (primary),Reviewed
NCDN,NCDN,unreviewed,Homo sapiens (Human),H7C2R2,,,
SMC4,SMC4,unreviewed,Homo sapiens (Human),E9PD53,,,
LYPLA1,LYPLA1,unreviewed,Homo sapiens (Human),B4DP64,,,
BCAT1;BCT1;ECA39,BCAT1,reviewed,Homo sapiens (Human),P54687,,,
Rhog;rCG_39701,Rhog,unreviewed,Rattus norvegicus (Rat),Q32PX6,,,
ACAT1,ACAT1,unreviewed,Homo sapiens (Human),A0A5F9ZHJ7,,,
TXN2,TXN2,unreviewed,Homo sapiens (Human),F8WDN2,,,
DLST,DLST,unreviewed,Homo sapiens (Human),Q86SW4,,,
SGCD,SGCD,reviewed,Homo sapiens (Human),Q92629,,,
ASAH1,ASAH1,unreviewed,Homo sapiens (Human),A0A1B0GW66,,,
ATP6V0C;hCG_1780666,ATP6V0C,unreviewed,Homo sapiens (Human),H3BNI4,,,
FLOT1,FLOT1,unreviewed,Homo sapiens (Human),A2AB13,,,
BCS1L,BCS1L,unreviewed,Homo sapiens (Human),C9J1S9,,,
HAT1;KAT1,HAT1,reviewed,Homo sapiens (Human),O14929,,,
Ech1,Ech1,reviewed,Rattus norvegicus (Rat),Q62651,,,
Kif2a,Kif2a,unreviewed,Rattus norvegicus (Rat),F1M8L1,,,
RBM39;RNPC2;hCG_38221,RBM39,unreviewed,Homo sapiens (Human),G3XAC6,,,
REEP3;C10orf74,REEP3,reviewed,Homo sapiens (Human),Q6NUK4,,,
DEGS1;DES1;MLD;MIG15,DEGS1,reviewed,Homo sapiens (Human),O15121,,,
Gnb4,Gnb4,unreviewed,Rattus norvegicus (Rat),A0A0G2K8M9,,,
SND1;TDRD11,SND1,reviewed,Homo sapiens (Human),Q7KZF4,,,
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),Q5VXQ9,,,
SUMF1;PSEC0152;UNQ3037/PRO9852,SUMF1,reviewed,Homo sapiens (Human),Q8NBK3,,,
FAR1,FAR1,unreviewed,Homo sapiens (Human),E9PNW8,,,
ACOX1,ACOX1,unreviewed,Homo sapiens (Human),I3L0T4,,,
LGALS8,LGALS8,unreviewed,Homo sapiens (Human),E9PJ77,,,
ZZEF1;KIAA0399,ZZEF1,reviewed,Homo sapiens (Human),O43149,,,
MSRA,MSRA,unreviewed,Homo sapiens (Human),E9PJ70,,,
Ran,Ran,reviewed,Rattus norvegicus (Rat),P62828,,,
RPL23,RPL23,unreviewed,Homo sapiens (Human),B9ZVP7,,,
PSMA6;PROS27,PSMA6,reviewed,Homo sapiens (Human),P60900,,,
KRIT1;CCM1,KRIT1,reviewed,Homo sapiens (Human),O00522,,,
RPS26P11;RPS26L1,RPS26P11,reviewed,Homo sapiens (Human),Q5JNZ5,,,
EIF4A2,EIF4A2,unreviewed,Homo sapiens (Human),J3KSN7,,,
RWDD1,RWDD1,unreviewed,Homo sapiens (Human),E5RGQ3,,,
SCLY,SCLY,unreviewed,Homo sapiens (Human),H7C3V9,,,
COPS2,COPS2,unreviewed,Homo sapiens (Human),H0YMC2,,,
Cwc15,Cwc15,reviewed,Rattus norvegicus (Rat),Q5BJP2,,,
MBOAT7,MBOAT7,unreviewed,Homo sapiens (Human),A9C4B8,,,
,,,,C9JH18,,,
ETF1,ETF1,unreviewed,Homo sapiens (Human),B7Z7P8,,,
Cand1;Tip120;Tip120a,Cand1,reviewed,Rattus norvegicus (Rat),P97536,,,
SNRNP27,SNRNP27,reviewed,Homo sapiens (Human),Q8WVK2,,,
LOC297756,LOC297756,unreviewed,Rattus norvegicus (Rat),Q6TXJ0,,,
COPS6;CSN6;HVIP,COPS6,reviewed,Homo sapiens (Human),Q7L5N1,,,
CLPP,CLPP,reviewed,Homo sapiens (Human),Q16740,,,
PRMT1,PRMT1,unreviewed,Homo sapiens (Human),E9PMW9,,,
LACTB,LACTB,unreviewed,Homo sapiens (Human),H0YNN5,,,
PSMA4,PSMA4,unreviewed,Homo sapiens (Human),H0YLC2,,,
ADPGK;PSEC0260,ADPGK,reviewed,Homo sapiens (Human),Q9BRR6,,,
GLB1,GLB1,unreviewed,Homo sapiens (Human),C9J539,,,
PPP3CA;CALNA;CNA,PPP3CA,reviewed,Homo sapiens (Human),Q08209,,,
GLIPR2;C9orf19;GAPR1,GLIPR2,reviewed,Homo sapiens (Human),Q9H4G4,,,
BPTF,BPTF,unreviewed,Homo sapiens (Human),A0A0A0MR81,,,
ZNFX1,ZNFX1,unreviewed,Homo sapiens (Human),Q5JXR7,,,
Cab39;Cab39_predicted;rCG_23700,Cab39,unreviewed,Rattus norvegicus (Rat),D3ZJ77,,,
PIN1P1;PIN1L,PIN1P1,reviewed,Homo sapiens (Human),O15428,,,
Atad2b,Atad2b,unreviewed,Rattus norvegicus (Rat),A0A096MKA5,,,
OPTN,OPTN,unreviewed,Homo sapiens (Human),A0A087X2G2,,,
EVI5L,EVI5L,unreviewed,Homo sapiens (Human),M0QYX4,,,
EML1,EML1,unreviewed,Homo sapiens (Human),G3V500,,,
Spcs3,Spcs3,reviewed,Rattus norvegicus (Rat),Q568Z4,,,
LAMTOR1,LAMTOR1,unreviewed,Homo sapiens (Human),F5H479,,,
LPCAT2;AGPAT11;AYTL1,LPCAT2,reviewed,Homo sapiens (Human),Q7L5N7,,,
ABR,ABR,unreviewed,Homo sapiens (Human),I3L379,,,
RDX,RDX,unreviewed,Homo sapiens (Human),A0A2R8Y5P0,,,
BMI1,BMI1,unreviewed,Homo sapiens (Human),Q5T8Z4,,,
NCOR2;CTG26,NCOR2,reviewed,Homo sapiens (Human),Q9Y618,,,
CRYBG1,CRYBG1,unreviewed,Homo sapiens (Human),Q96QW7,,,
UBE2A,UBE2A,unreviewed,Homo sapiens (Human),A0A0D9SG71,,,
Sap30bp;Sap30bp_predicted;rCG_34724,Sap30bp,unreviewed,Rattus norvegicus (Rat),B5DFL5,,,
ASAP1,ASAP1,unreviewed,Homo sapiens (Human),E5RHD7,,,
ASNS,ASNS,unreviewed,Homo sapiens (Human),C9JT45,,,
ENPP1,ENPP1,unreviewed,Homo sapiens (Human),E9PE72,,,
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A1W2PRX6,,,
Agpat1;Ager;Btnl6;Cyp21a1-ps;Ng5;Rnf5;Stk19-ps;Tnx;rCG_38326,Agpat1,unreviewed,Rattus norvegicus (Rat),Q6MG85,,,
DTNBP1,DTNBP1,unreviewed,Homo sapiens (Human),A6NFV8,,,
CCDC88A,CCDC88A,unreviewed,Homo sapiens (Human),A0A2R8Y4X4,,,
TRAP1;hCG_16634,TRAP1,unreviewed,Homo sapiens (Human),I3L0K7,,,
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A1B0GWF8,,,
FMN1,FMN1,unreviewed,Homo sapiens (Human),H0YLM7,,,
TNIP1;KIAA0113;NAF1,TNIP1,reviewed,Homo sapiens (Human),Q15025,,,
SCAMP2,SCAMP2,reviewed,Homo sapiens (Human),O15127,,,
Nmd3,Nmd3,unreviewed,Rattus norvegicus (Rat),F6PUQ7,,,
TBK1,TBK1,unreviewed,Homo sapiens (Human),A0A494C045,,,
RALGAPB,RALGAPB,unreviewed,Homo sapiens (Human),A2A2F0,,,
HNRNPH3;HNRPH3,HNRNPH3,reviewed,Homo sapiens (Human),P31942,,,
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),Q5VXQ8,,,
MEAK7,MEAK7,unreviewed,Homo sapiens (Human),H3BM75,,,
MED6,MED6,unreviewed,Homo sapiens (Human),A0A087WYL7,,,
ARHGAP21,ARHGAP21,unreviewed,Homo sapiens (Human),A0A087WW76,,,
CC2D1A;AKI1,CC2D1A,reviewed,Homo sapiens (Human),Q6P1N0,,,
ARHGAP21,ARHGAP21,unreviewed,Homo sapiens (Human),A0A1B0GTZ9,,,
Igfbp3,Igfbp3,unreviewed,Rattus norvegicus (Rat),A0A0G2K4Q9,,,
TOLLIP,TOLLIP,unreviewed,Homo sapiens (Human),E9PQ25,,,
TMX3,TMX3,unreviewed,Homo sapiens (Human),H3BT89,,,
DHX36;DDX36;KIAA1488;MLEL1;RHAU,DHX36,reviewed,Homo sapiens (Human),Q9H2U1,,,
DCN,DCN,unreviewed,Homo sapiens (Human),F8VXZ8,,,
VPS51;ANG2;C11orf2;C11orf3;FFR;PP5382,VPS51,reviewed,Homo sapiens (Human),Q9UID3,,,
CTNNB1,CTNNB1,unreviewed,Homo sapiens (Human),A0A2R8Y6G0,,,
SPATS2L,SPATS2L,unreviewed,Homo sapiens (Human),C9J8M7,,,
DNTTIP2,DNTTIP2,unreviewed,Homo sapiens (Human),J3KP30,,,
EIF3E;EIF3S6;INT6,EIF3E,reviewed,Homo sapiens (Human),P60228,,,
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),A0A087WVN3,,,
POLR2H,POLR2H,unreviewed,Homo sapiens (Human),C9JLU1,,,
RSU1;RSP1,RSU1,reviewed,Homo sapiens (Human),Q15404,,,
MATR3,MATR3,unreviewed,Homo sapiens (Human),D6RBS2,,,
ACTN4,ACTN4,unreviewed,Homo sapiens (Human),H7C144,,,
EIF3M,EIF3M,unreviewed,Homo sapiens (Human),H0YCQ8,,,
CKB,CKB,unreviewed,Homo sapiens (Human),G3V461,,,
PPID,PPID,unreviewed,Homo sapiens (Human),H0Y8J0,,,
DDAH2,DDAH2,unreviewed,Homo sapiens (Human),Q5SRR8,,,
HERC6,HERC6,reviewed,Homo sapiens (Human),Q8IVU3,,,
NOLC1,NOLC1,unreviewed,Homo sapiens (Human),S4R402,,,
AP2M1,AP2M1,unreviewed,Homo sapiens (Human),A0A087WY71,,,
G3bp1,G3bp1,unreviewed,Rattus norvegicus (Rat),D3ZYS7,,,
MED16,MED16,unreviewed,Homo sapiens (Human),B9TX11,,,
SCAMP1,SCAMP1,unreviewed,Homo sapiens (Human),A0A087WXB0,,,
HNRNPDL;HNRPDL;JKTBP,HNRNPDL,reviewed,Homo sapiens (Human),O14979,,,
EML1,EML1,unreviewed,Homo sapiens (Human),H0YJS9,,,
Ppil1,Ppil1,unreviewed,Rattus norvegicus (Rat),Q4KLI4,,,
NAE1,NAE1,unreviewed,Homo sapiens (Human),H3BSS8,,,
USP8,USP8,unreviewed,Homo sapiens (Human),H0YLH2,,,
SRSF3;SFRS3;SRP20,SRSF3,reviewed,Homo sapiens (Human),P84103,,,
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),H0YIV4,,,
LASP1,LASP1,unreviewed,Homo sapiens (Human),J3KSN1,,,
BCL10,BCL10,unreviewed,Homo sapiens (Human),A0A087WWW9,,,
RAB5C,RAB5C,unreviewed,Homo sapiens (Human),F8VVK3,,,
ERCC3,ERCC3,unreviewed,Homo sapiens (Human),A0A2R8Y762,,,
EIF3D,EIF3D,unreviewed,Homo sapiens (Human),B0QYA4,,,
CDC42,CDC42,unreviewed,Homo sapiens (Human),A0A3B3IRV0,,,
SRSF9,SRSF9,unreviewed,Homo sapiens (Human),S4R3G0,,,
Nosip;Nosip_predicted;rCG_54013,Nosip,unreviewed,Rattus norvegicus (Rat),D3ZH12,,,
Cthrc1,Cthrc1,reviewed,Rattus norvegicus (Rat),Q8CG08,,,
ABCF1,ABCF1,unreviewed,Homo sapiens (Human),A0A0G2JIC2,,,
PARP10,PARP10,unreviewed,Homo sapiens (Human),E9PSE7,,,
,,,,C9JWB9,,,
PPP2R5C,PPP2R5C,unreviewed,Homo sapiens (Human),H0YJ75,,,
MFF,MFF,unreviewed,Homo sapiens (Human),C9JAF1,,,
Cdk5rap3,Cdk5rap3,reviewed,Rattus norvegicus (Rat),Q9JLH7,,,
EIF3L;EIF3EIP;EIF3S6IP;hCG_41840,EIF3L,unreviewed,Homo sapiens (Human),B0QY90,,,
FOCAD,FOCAD,unreviewed,Homo sapiens (Human),S4R3N8,,,
MX1,MX1,unreviewed,Homo sapiens (Human),H9KVC7,,,
RPS17,RPS17,unreviewed,Homo sapiens (Human),A0A075B716,,,
Upf2,Upf2,unreviewed,Rattus norvegicus (Rat),A0A0U1RRS6,,,
STX4;STX4A,STX4,reviewed,Homo sapiens (Human),Q12846,,,
EBP,EBP,unreviewed,Homo sapiens (Human),C9J719,,,
ANAPC10,ANAPC10,unreviewed,Homo sapiens (Human),A0A286YEY6,,,
MAX,MAX,unreviewed,Homo sapiens (Human),G3V563,,,
ERCC3,ERCC3,unreviewed,Homo sapiens (Human),A0A2R8Y681,,,
IQGAP2,IQGAP2,unreviewed,Homo sapiens (Human),D6R939,,,
MPRIP,MPRIP,unreviewed,Homo sapiens (Human),J3KSK7,,,
ZNF207,ZNF207,unreviewed,Homo sapiens (Human),J3KRB6,,,
YTHDC1;KIAA1966;YT521,YTHDC1,reviewed,Homo sapiens (Human),Q96MU7,,,
,,unreviewed,Rattus norvegicus (Rat),M0RBH0,,,
PTEN,PTEN,unreviewed,Homo sapiens (Human),A0A087X033,,,
THOC3,THOC3,reviewed,Homo sapiens (Human),Q96J01,,,
EML1,EML1,unreviewed,Homo sapiens (Human),G3V3N9,,,
MPRIP,MPRIP,unreviewed,Homo sapiens (Human),A0A494BZV2,,,
MCM4,MCM4,unreviewed,Homo sapiens (Human),A0A3B3IU45,,,
HBS1L,HBS1L,unreviewed,Homo sapiens (Human),J3QT46,,,
Chmp1a,Chmp1a,unreviewed,Rattus norvegicus (Rat),D4AE79,,,
MYCBP2,MYCBP2,unreviewed,Homo sapiens (Human),H7C3U4,,,
Ubxn1;Saks1,Ubxn1,reviewed,Rattus norvegicus (Rat),Q499N6,,,
IGF2R,IGF2R,unreviewed,Homo sapiens (Human),S4R328,,,
MPHOSPH10;MPP10,MPHOSPH10,reviewed,Homo sapiens (Human),O00566,,,
TRIM47,TRIM47,unreviewed,Homo sapiens (Human),K7EJ63,,,
PRKCSH,PRKCSH,unreviewed,Homo sapiens (Human),K7EKX1,,,
PDPR,PDPR,unreviewed,Homo sapiens (Human),A8MT40,,,
TMEM63B,TMEM63B,unreviewed,Homo sapiens (Human),H0YCP6,,,
Trim26,Trim26,unreviewed,Rattus norvegicus (Rat),A0A0G2JVR4,,,
PCDHGB5,PCDHGB5,reviewed,Homo sapiens (Human),Q9Y5G0,,,
ACP2,ACP2,unreviewed,Homo sapiens (Human),A0A5F9ZHR7,,,
SUGP2,SUGP2,unreviewed,Homo sapiens (Human),M0R216,,,
TTN,TTN,unreviewed,Homo sapiens (Human),A0A0A0MRA3,,,
RSL1D1,RSL1D1,unreviewed,Homo sapiens (Human),I3L3C4,,,
AP2M1,AP2M1,unreviewed,Homo sapiens (Human),H7C4C3,,,
ARRB1,ARRB1,unreviewed,Homo sapiens (Human),E9PM35,,,
Pabpc1;Pabp1,Pabpc1,reviewed,Rattus norvegicus (Rat),Q9EPH8,,,
LOC100910833,LOC100910833,unreviewed,Rattus norvegicus (Rat),D4A7S1,,,
MBD2,MBD2,reviewed,Homo sapiens (Human),Q9UBB5,,,
FKBP9,FKBP9,unreviewed,Homo sapiens (Human),C9J4P8,,,
TAGLN,TAGLN,unreviewed,Homo sapiens (Human),H0YCU9,,,
TACC1,TACC1,unreviewed,Homo sapiens (Human),A0A0C4DGD5,,,
XPO5,XPO5,unreviewed,Homo sapiens (Human),H0Y9I3,,,
AHNAK,AHNAK,unreviewed,Homo sapiens (Human),E9PQE3,,,
TUBA8,TUBA8,unreviewed,Homo sapiens (Human),C9J2C0,,,
TM9SF4,TM9SF4,unreviewed,Homo sapiens (Human),F2Z2L1,,,
AMPD3,AMPD3,unreviewed,Homo sapiens (Human),E9PIR5,,,
Atp5mc1;Atp5g1,Atp5mc1,reviewed,Rattus norvegicus (Rat),Q06645,,,
NECTIN3;PRR3;PVRL3,NECTIN3,reviewed,Homo sapiens (Human),Q9NQS3,,,
,,unreviewed,Homo sapiens (Human),A0A494C116,,,
DHX16,DHX16,unreviewed,Homo sapiens (Human),A2AB15,,,
ZMIZ2,ZMIZ2,unreviewed,Homo sapiens (Human),A0A087X127,,,
HNRNPD,HNRNPD,unreviewed,Homo sapiens (Human),D6RD83,,,
Cnot2,Cnot2,unreviewed,Rattus norvegicus (Rat),A0A0G2KB82,,,
HPF1;C4orf27,HPF1,reviewed,Homo sapiens (Human),Q9NWY4,,,
IFT27,IFT27,unreviewed,Homo sapiens (Human),B1AH56,,,
Zfp598;Zfp598_predicted;rCG_34787,Zfp598,unreviewed,Rattus norvegicus (Rat),D3ZR64,,,
MAPK14;CSBP;CSBP1;CSBP2;CSPB1;MXI2;SAPK2A,MAPK14,reviewed,Homo sapiens (Human),Q16539,,,
APOA1,APOA1,unreviewed,Homo sapiens (Human),F8W696,,,
HACL1,HACL1,unreviewed,Homo sapiens (Human),C9JJM7,,,
VPS8,VPS8,unreviewed,Homo sapiens (Human),C9JP71,,,
MSH2,MSH2,reviewed,Homo sapiens (Human),P43246,,,
COX4I1,COX4I1,unreviewed,Homo sapiens (Human),H3BPG0,,,
ABI2,ABI2,unreviewed,Homo sapiens (Human),E7EW77,,,
Fn1,Fn1,reviewed,Rattus norvegicus (Rat),P04937,,,
SGTA;SGT;SGT1,SGTA,reviewed,Homo sapiens (Human),O43765,,,
BAG6,BAG6,unreviewed,Homo sapiens (Human),F6VEM6,,,
Serpinh1;rCG_39706,Serpinh1,unreviewed,Rattus norvegicus (Rat),Q5RJR9,,,
RNH1,RNH1,unreviewed,Homo sapiens (Human),E9PLZ3,,,
BABAM2;BRCC45;BRE,BABAM2,reviewed,Homo sapiens (Human),Q9NXR7,,,
TBC1D5;KIAA0210,TBC1D5,reviewed,Homo sapiens (Human),Q92609,,,
FLII,FLII,unreviewed,Homo sapiens (Human),J3KS54,,,
CERCAM,CERCAM,unreviewed,Homo sapiens (Human),B7ZBT0,,,
MYO1E,MYO1E,unreviewed,Homo sapiens (Human),H0YLJ4,,,
ATP5MJ,ATP5MJ,unreviewed,Homo sapiens (Human),G3V556,,,
BCAT1,BCAT1,unreviewed,Homo sapiens (Human),F5H2F2,,,
TARDBP,TARDBP,unreviewed,Homo sapiens (Human),K7EN94,,,
TSNAX-DISC1;DISC1,TSNAX-DISC1,unreviewed,Homo sapiens (Human),C4P0D4,,,
SETD7;KIAA1717;KMT7;SET7;SET9,SETD7,reviewed,Homo sapiens (Human),Q8WTS6,,,
UBA6,UBA6,unreviewed,Homo sapiens (Human),H0Y8S8,,,
SETDB1,SETDB1,unreviewed,Homo sapiens (Human),E9PRF4,,,
,,unreviewed,Rattus norvegicus (Rat),M0R7R5,,,
Qars1;Qars,Qars1,reviewed,Rattus norvegicus (Rat),Q66H61,,,
NDRG1,NDRG1,unreviewed,Homo sapiens (Human),E7ESM1,,,
NFKB1,NFKB1,unreviewed,Homo sapiens (Human),D6RC45,,,
PCDHGC3;PCDH2,PCDHGC3,reviewed,Homo sapiens (Human),Q9UN70,,,
Arl2,Arl2,unreviewed,Rattus norvegicus (Rat),G3V8V0,,,
SUCLA2,SUCLA2,unreviewed,Homo sapiens (Human),A0A0U1RQL1,,,
,,unreviewed,Homo sapiens (Human),A0A087WUJ7,,,
Gspt1;LOC100911685;rCG_49786,Gspt1,unreviewed,Rattus norvegicus (Rat),Q6AYD5,,,
TBCA,TBCA,unreviewed,Homo sapiens (Human),E5RIW3,,,
ARSB,ARSB,unreviewed,Homo sapiens (Human),A0A2U3U034,,,
SHMT2,SHMT2,unreviewed,Homo sapiens (Human),G3V4X0,,,
ARMC8,ARMC8,unreviewed,Homo sapiens (Human),C9JAA7,,,
TRIP11,TRIP11,unreviewed,Homo sapiens (Human),H0YJI2,,,
LOC684509;rCG_63041,LOC684509,unreviewed,Rattus norvegicus (Rat),M0RB63,,,
ARF3,ARF3,unreviewed,Homo sapiens (Human),F5H1V1,,,
ICMT,ICMT,unreviewed,Homo sapiens (Human),K7EQW0,,,
PALLD,PALLD,unreviewed,Homo sapiens (Human),D6R9Z5,,,
MIX23,MIX23,unreviewed,Homo sapiens (Human),C9JBU9,,,
PYCR3,PYCR3,unreviewed,Homo sapiens (Human),A0A0A0MQS1,,,
SET,SET,unreviewed,Homo sapiens (Human),A0A0C4DFV9,,,
Lsm2,Lsm2,unreviewed,Rattus norvegicus (Rat),A0A0G2KAB8,,,
WDR1,WDR1,unreviewed,Homo sapiens (Human),D6RD66,,,
GDI1;GDIL;OPHN2;RABGDIA;XAP4,GDI1,reviewed,Homo sapiens (Human),P31150,,,
HDAC7;HDAC7A,HDAC7,reviewed,Homo sapiens (Human),Q8WUI4,,,
GALNT7,GALNT7,reviewed,Homo sapiens (Human),Q86SF2,,,
HSD17B12,HSD17B12,unreviewed,Homo sapiens (Human),A0A1B0GV93,,,
PDPK1,PDPK1,unreviewed,Homo sapiens (Human),H3BQ10,,,
C5;CPAMD4,C5,reviewed,Homo sapiens (Human),P01031,,,
GSPT1,GSPT1,unreviewed,Homo sapiens (Human),H3BR35,,,
FTH1,FTH1,unreviewed,Homo sapiens (Human),E9PKM5,,,
Crispld2;Lgl1,Crispld2,unreviewed,Rattus norvegicus (Rat),Q9Z0U6,,,
SMPD1,SMPD1,unreviewed,Homo sapiens (Human),E9PQT3,,,
BAG6,BAG6,unreviewed,Homo sapiens (Human),F6X9W3,,,
NDUFA12,NDUFA12,unreviewed,Homo sapiens (Human),H0YID5,,,
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),D6R9T0,,,
PRKACB,PRKACB,unreviewed,Homo sapiens (Human),B1APF9,,,
CD151,CD151,unreviewed,Homo sapiens (Human),E9PMR4,,,
LTBP1,LTBP1,unreviewed,Homo sapiens (Human),H7C4L5,,,
Cyp1b1,Cyp1b1,unreviewed,Rattus norvegicus (Rat),D4A6I4,,,
RBM28,RBM28,unreviewed,Homo sapiens (Human),H7C5G8,,,
PCDHGC3,PCDHGC3,unreviewed,Homo sapiens (Human),A0A087WYB5,,,
FNDC3A;FNDC3;HUGO;KIAA0970,FNDC3A,reviewed,Homo sapiens (Human),Q9Y2H6,,,
HERC6,HERC6,unreviewed,Homo sapiens (Human),A0A0B4J1R3,,,
YLPM1,YLPM1,unreviewed,Homo sapiens (Human),H0YIQ2,,,
Plekhm2,Plekhm2,unreviewed,Rattus norvegicus (Rat),D4A932,,,
Pop4;Rpp29,Pop4,reviewed,Rattus norvegicus (Rat),Q5M882,,,
TBC1D24,TBC1D24,unreviewed,Homo sapiens (Human),A0A2R8Y518,,,
FAM20B,FAM20B,unreviewed,Homo sapiens (Human),X6RH03,,,
Ccdc25;Ccdc25_predicted;rCG_52097,Ccdc25,unreviewed,Rattus norvegicus (Rat),D4AAU6,,,
SNX8,SNX8,unreviewed,Homo sapiens (Human),C9JCB9,,,
DAZAP1,DAZAP1,unreviewed,Homo sapiens (Human),K7EK33,,,
STX18,STX18,unreviewed,Homo sapiens (Human),D6RC71,,,
PGM3,PGM3,unreviewed,Homo sapiens (Human),D6RF77,,,
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),B7ZMF5,,,
STIP1,STIP1,unreviewed,Homo sapiens (Human),F5H783,,,
LARP1,LARP1,unreviewed,Homo sapiens (Human),H0YC73,,,
Egln1,Egln1,reviewed,Rattus norvegicus (Rat),P59722,,,
Hat1,Hat1,reviewed,Rattus norvegicus (Rat),Q5M939,,,
GIT1,GIT1,unreviewed,Homo sapiens (Human),A0A0C4DGN6,,,
MRPL51,MRPL51,unreviewed,Homo sapiens (Human),A0A087WU28,,,
OCRL,OCRL,unreviewed,Homo sapiens (Human),A0A2R8YCN4,,,
Arih1,Arih1,unreviewed,Rattus norvegicus (Rat),Q5XI15,,,
PKN2,PKN2,unreviewed,Homo sapiens (Human),H0Y5V5,,,
TXNL1,TXNL1,unreviewed,Homo sapiens (Human),K7EKG2,,,
NAPG;SNAPG,NAPG,reviewed,Homo sapiens (Human),Q99747,,,
SRPRB,SRPRB,unreviewed,Homo sapiens (Human),C9J5Z8,,,
INTS3,INTS3,unreviewed,Homo sapiens (Human),A0A096LNW8,,,
MRPL24,MRPL24,reviewed,Homo sapiens (Human),Q96A35,,,
SLMAP,SLMAP,unreviewed,Homo sapiens (Human),A0A590UJS6,,,
Far1;rCG_39451,Far1,unreviewed,Rattus norvegicus (Rat),A0A096MJW2,,,
HDHD2,HDHD2,unreviewed,Homo sapiens (Human),K7EQD2,,,
HS2ST1,HS2ST1,unreviewed,Homo sapiens (Human),K7EP71,,,
HECW2,HECW2,unreviewed,Homo sapiens (Human),A0A2R8Y6F3,,,
Rnmt,Rnmt,reviewed,Rattus norvegicus (Rat),Q5U2U7,,,
GABARAPL2;FLC3A;GEF2,GABARAPL2,reviewed,Homo sapiens (Human),P60520,,,
,,unreviewed,Rattus norvegicus (Rat),F1LYI5,,,
TMEM119,TMEM119,unreviewed,Homo sapiens (Human),F8VS22,,,
SEPTIN7,SEPTIN7,unreviewed,Homo sapiens (Human),A0A0U1RRD1,,,
ACTR3C;ARP11,ACTR3C,reviewed,Homo sapiens (Human),Q9C0K3,,,
DSE,DSE,unreviewed,Homo sapiens (Human),A0A2R8YE23,,,
MTIF3;DC38,MTIF3,reviewed,Homo sapiens (Human),Q9H2K0,,,
SNTB1,SNTB1,unreviewed,Homo sapiens (Human),A0A3B3ITC2,,,
ELMO2,ELMO2,unreviewed,Homo sapiens (Human),Q5JVZ4,,,
EHBP1,EHBP1,unreviewed,Homo sapiens (Human),C9K0H9,,,
TBCE,TBCE,unreviewed,Homo sapiens (Human),A0A2R8Y897,,,
NUDT16,NUDT16,reviewed,Homo sapiens (Human),Q96DE0,,,
DDX24,DDX24,unreviewed,Homo sapiens (Human),A0A087WXU8,,,
GSS,GSS,unreviewed,Homo sapiens (Human),A0A2R8Y6Y6,,,
LRBA,LRBA,unreviewed,Homo sapiens (Human),H0Y9N9,,,
BTAF1;TAF172,BTAF1,reviewed,Homo sapiens (Human),O14981,,,
UBXN4,UBXN4,unreviewed,Homo sapiens (Human),C9JLR4,,,
DDX5,DDX5,unreviewed,Homo sapiens (Human),J3QS79,,,
Bloc1s3,Bloc1s3,unreviewed,Rattus norvegicus (Rat),D4A3V6,,,
HEATR6,HEATR6,unreviewed,Homo sapiens (Human),K7ELR8,,,
RARS2;RARSL,RARS2,reviewed,Homo sapiens (Human),Q5T160,,,
ZFP36L2;ERF2;RNF162C;TIS11D,ZFP36L2,reviewed,Homo sapiens (Human),P47974,,,
PSMD3,PSMD3,unreviewed,Homo sapiens (Human),H0YGV8,,,
MTRR,MTRR,unreviewed,Homo sapiens (Human),H0Y963,,,
ADA,ADA,unreviewed,Homo sapiens (Human),F5GXW0,,,
Eno2;Eno-2,Eno2,reviewed,Rattus norvegicus (Rat),P07323,,,
Nptn;Sdfr1;Sdr1,Nptn,reviewed,Rattus norvegicus (Rat),P97546,,,
PHYH,PHYH,unreviewed,Homo sapiens (Human),B1ALH6,,,
ANKRD17,ANKRD17,unreviewed,Homo sapiens (Human),H0YM23,,,
NNMT,NNMT,reviewed,Homo sapiens (Human),P40261,,,
KIDINS220,KIDINS220,unreviewed,Homo sapiens (Human),A0A1W2PPY4,,,
AZI2;NAP1;TBKBP2,AZI2,reviewed,Homo sapiens (Human),Q9H6S1,,,
DAPK3,DAPK3,unreviewed,Homo sapiens (Human),M0QYY8,,,
TMX3,TMX3,unreviewed,Homo sapiens (Human),H3BRY0,,,
RPS12,RPS12,reviewed,Homo sapiens (Human),P25398,,,
POLR2G,POLR2G,unreviewed,Homo sapiens (Human),E9PIU7,,,
PIP4P2,PIP4P2,unreviewed,Homo sapiens (Human),E5RIP9,,,
NDE1,NDE1,unreviewed,Homo sapiens (Human),I3L2R3,,,
LDAH,LDAH,unreviewed,Homo sapiens (Human),B5MCE2,,,
PFKP,PFKP,unreviewed,Homo sapiens (Human),B1APP6,,,
